[2024-07-25 02:10:04] info: 	z2m: Logging to console, file (filename: log.log)
[2024-07-25 02:10:04] info: 	z2m: Starting Zigbee2MQTT version 1.39.0 (commit #unknown)
[2024-07-25 02:10:04] info: 	z2m: Starting zigbee-herdsman (0.50.1)
[2024-07-25 02:10:05] info: 	zh:zstack:znp: Opening TCP socket with 192.168.87.68:6638
[2024-07-25 02:10:05] info: 	zh:zstack:znp: Socket connected
[2024-07-25 02:10:05] info: 	zh:zstack:znp: Socket ready
[2024-07-25 02:10:05] info: 	zh:zstack:znp: Writing CC2530/CC2531 skip bootloader payload
[2024-07-25 02:10:06] info: 	zh:zstack:znp: Skip bootloader for CC2652/CC1352
[2024-07-25 02:10:06] info: 	z2m: zigbee-herdsman started (resumed)
[2024-07-25 02:10:06] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20230507,"transportrev":2},"type":"zStack3x0"}'
[2024-07-25 02:10:06] info: 	z2m: Set transmit power to '20'
[2024-07-25 02:10:07] info: 	z2m: Currently 8 devices are joined:
[2024-07-25 02:10:07] info: 	z2m: Button 4 - Movie (0xb4e3f9fffe249e15): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Smart Plug Z1 (0xa4c13812921dddfd): A1Z - Nous Smart plug (with power monitoring) (Router)
[2024-07-25 02:10:07] info: 	z2m: Button 3 (0xb4e3f9fffe753317): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Button 2 - Chandelier (0x04cd15fffe7ff98b): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Button 1 (0x04cd15fffe268dcc): E1812 - IKEA TRADFRI shortcut button (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Cube (0x54ef4410006a43c7): CTP-R01 - Aqara Cube T1 Pro (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Philips Backyard Sensor (0x001788010649a073): 9290019758 - Philips Hue motion outdoor sensor (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Water Sensor 1 (0x5c0272fffebb9cde): TS0207_water_leak_detector_3 - Tuya Zigbee water leak sensor (EndDevice)
[2024-07-25 02:10:07] info: 	z2m: Zigbee: disabling joining new devices.
[2024-07-25 02:10:07] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2024-07-25 02:10:07] info: 	z2m: Connected to MQTT server
[2024-07-25 02:10:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-07-25 02:10:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Button 4 - Movie/availability', payload '{"state":"online"}'
[2024-07-25 02:10:08] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Smart Plug Z1/availability', payload '{"state":"online"}'
